freq (Hz),X (m^2/s^3),Y (m^2/s^3),Z (m^2/s^3)
5.33871,0.296868,0.137722,1.7353
5.36309,0.309735,0.0667821,0.990061
5.38747,0.395412,0.152412,0.443005
5.41185,0.326376,0.170914,0.323564
5.43622,0.470038,0.120124,0.980281
5.4606,0.30479,0.158431,1.24447
5.48498,0.378408,0.182336,1.10563
5.50936,0.512019,0.126654,1.46014
5.53373,0.326499,0.142122,0.918006
5.55811,0.200974,0.151267,0.692836
5.58249,0.196178,0.107986,0.334006
5.60687,0.156314,0.0849269,0.474469
5.63124,0.204088,0.0657897,0.523521
5.65562,0.183848,0.206484,0.640861
5.68,0.208656,0.345317,0.496767
5.70438,0.192676,0.24609,0.85013
5.72876,0.216248,0.162367,0.818212
5.75313,0.336695,0.189077,0.457629
5.77751,0.262416,0.0779975,0.437449
5.80189,0.316322,0.125712,0.370223
5.82627,0.158302,0.0817089,0.260902
5.85064,0.309095,0.0697765,0.255062
5.87502,0.284395,0.0735672,0.208143
5.8994,0.158151,0.09933,0.225801
5.92378,0.410482,0.0946979,0.184057
5.94815,0.284946,0.121172,0.347701
5.97253,0.346047,0.144914,0.331192
5.99691,0.177808,0.0698895,0.39202
6.02129,0.367113,0.176111,0.407831
6.04567,0.166754,0.124956,0.402248
6.07004,0.188243,0.0907757,0.239312
6.09442,0.18082,0.121595,0.434748
6.1188,0.30897,0.175763,0.531576
6.14318,0.403082,0.159896,0.372105
6.16755,0.372288,0.321941,0.342583
6.19193,0.265853,0.1717,0.0726449
6.21631,0.145847,0.155216,0.185719
6.24069,0.204464,0.196187,0.265621
6.26506,0.319573,0.403605,0.320106
6.28944,0.260336,0.244581,0.344269
6.31382,0.476314,0.379174,0.27822
6.3382,0.426613,0.226458,0.468502
6.36257,0.340344,0.244871,0.352796
6.38695,0.133262,0.124219,0.459595
6.41133,0.0898418,0.0663215,0.160301
6.43571,0.210749,0.145245,0.314837
6.46009,0.197861,0.230955,0.491892
6.48446,0.397616,0.335486,0.702664
6.50884,0.256795,0.123638,0.471964
6.53322,0.147523,0.103306,0.429198
6.5576,0.121429,0.0770154,0.143546
6.58197,0.186855,0.161397,0.360258
6.60635,0.115891,0.139823,0.491617
6.63073,0.0860478,0.07433,0.325527
6.65511,0.148479,0.0829815,0.17803
6.67948,0.108452,0.0381876,0.1246
6.70386,0.0888754,0.0565952,0.128369
6.72824,0.175317,0.0772984,0.180264
6.75262,0.0866809,0.0899607,0.147797
6.777,0.0665505,0.0815593,0.188368
6.80137,0.0477885,0.0640598,0.080274
6.82575,0.0555579,0.0605494,0.0546878
6.85013,0.0708883,0.0319138,0.134222
6.87451,0.0854329,0.0389582,0.153746
6.89888,0.0779822,0.0335911,0.223466
6.92326,0.123479,0.0567315,0.284886
6.94764,0.165558,0.0407554,0.196815
6.97202,0.100142,0.0388452,0.13444
6.99639,0.200774,0.183557,0.357433
7.02077,0.278059,0.141237,0.231491
7.04515,0.134621,0.122824,0.340474
7.06953,0.213392,0.250348,0.666316
7.09391,0.202973,0.275772,0.508555
7.11828,0.211937,0.241147,0.458739
7.14266,0.182364,0.175991,0.311404
7.16704,0.167902,0.129739,0.173554
7.19142,0.185361,0.287962,0.299434
7.21579,0.199039,0.149259,0.214917
7.24017,0.131012,0.0876312,0.157356
7.26455,0.111584,0.092341,0.312007
7.28893,0.200726,0.130604,0.208536
7.3133,0.2457,0.192211,0.21583
7.33768,0.325893,0.249389,0.358972
7.36206,0.352908,0.283913,0.458387
7.38644,0.24165,0.290705,0.274645
7.41082,0.0969979,0.1368,0.126981
7.43519,0.0970381,0.0529581,0.107271
7.45957,0.183427,0.126465,0.25147
7.48395,0.158363,0.0983782,0.136461
7.50833,0.160196,0.0691191,0.0972307
7.5327,0.107121,0.109982,0.131701
7.55708,0.181318,0.21863,0.161113
7.58146,0.193235,0.10878,0.0511815
7.60584,0.0807353,0.119452,0.0472325
7.63021,0.129122,0.110637,0.0642475
7.65459,0.274717,0.150978,0.070506
7.67897,0.180941,0.160173,0.11479
7.70335,0.128341,0.0834138,0.186089
7.72773,0.173342,0.0841106,0.302124
7.7521,0.201995,0.0872339,0.316995
7.77648,0.0779068,0.0603549,0.192623
7.80086,0.154696,0.0912429,0.163998
7.82524,0.157328,0.0986184,0.14904
7.84961,0.159096,0.110235,0.201533
